Needle 3	
lengths (µm)	widths (µm)
2400	332.62
2300	327.38
2200	319.52
2100	309.05
2000	303.81
1900	297.26
1800	293.33
1700	284.17
1600	275
1500	272.38
1400	254.05
1300	247.5
1200	240.95
1100	233.1
1000	223.93
900	209.52
800	193.81
700	176.79
600	168.93
500	147.96
400	134.88
300	115.24
200	91.67
100	68.1
