Needle 5	
lengths (µm)	widths (µm)
2400	370.6
2300	367.98
2200	361.43
2100	354.88
2000	357.5
1900	352.26
1800	344.4
1700	339.17
1600	331.31
1500	316.9
1400	311.67
1300	301.19
1200	285.48
1100	276.31
1000	265.83
900	248.81
800	239.64
700	217.38
600	201.67
500	189.88
400	166.31
300	141.43
200	113.93
100	79.88
