Needle 2	
lengths (µm)	widths (µm)
2400	367.98
2300	361.43
2200	348.33
2100	341.79
2000	331.31
1900	318.21
1800	309.05
1700	293.33
1600	282.86
1500	271.07
1400	255.36
1300	246.19
1200	239.64
1100	225.24
1000	212.14
900	197.74
800	184.64
700	170.24
600	161.07
500	140.12
400	124.4
300	99.52
200	73.33
100	44.52
